kallklokhet@plm2 10 % ./server 2 25

Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 24
Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 2, Пчёл-охранников: 23
Пчела становится охранником. Количество мёда: 2, Пчёл-сборщиков: 1, Пчёл-охранников: 24
Пчела становится охранником. Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 25
Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 1, Пчёл-охранников: 24
Пчела становится охранником. Количество мёда: 3, Пчёл-сборщиков: 0, Пчёл-охранников: 25
Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 1, Пчёл-охранников: 24
Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 2, Пчёл-охранников: 23
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 1, Пчёл-охранников: 24
Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 2, Пчёл-охранников: 23
Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 3, Пчёл-охранников: 22
Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 4, Пчёл-охранников: 21
Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 5, Пчёл-охранников: 20
Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 6, Пчёл-охранников: 19
Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 5, Пчёл-охранников: 20
Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 6, Пчёл-охранников: 19
Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 7, Пчёл-охранников: 18
Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 6, Пчёл-охранников: 19
Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 7, Пчёл-охранников: 18
Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 8, Пчёл-охранников: 17
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 7, Пчёл-охранников: 18
Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 8, Пчёл-охранников: 17
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 8, Пчёл-охранников: 17
Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Медведя укусили пчёлы. Количество мёда: 16, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Мёд собран. Количество мёда: 17, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 17, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Мёд собран. Количество мёда: 18, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 18, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Мёд собран. Количество мёда: 19, Пчёл-сборщиков: 12, Пчёл-охранников: 13
Медведя укусили пчёлы. Количество мёда: 19, Пчёл-сборщиков: 12, Пчёл-охранников: 13
Пчела становится охранником. Количество мёда: 19, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 19, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Пчела становится охранником. Количество мёда: 19, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 19, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Пчела становится охранником. Количество мёда: 19, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Медведя укусили пчёлы. Количество мёда: 19, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Мёд собран. Количество мёда: 20, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 20, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Пчела становится охранником. Количество мёда: 20, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Медведя укусили пчёлы. Количество мёда: 20, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Мёд собран. Количество мёда: 21, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 21, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Мёд собран. Количество мёда: 22, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 22, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Мёд собран. Количество мёда: 23, Пчёл-сборщиков: 12, Пчёл-охранников: 13
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 12, Пчёл-охранников: 13
Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Мёд собран. Количество мёда: 24, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 24, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Мёд собран. Количество мёда: 25, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 25, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 25, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Пчела становится охранником. Количество мёда: 25, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 25, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Мёд собран. Количество мёда: 26, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 26, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Мёд собран. Количество мёда: 27, Пчёл-сборщиков: 12, Пчёл-охранников: 13
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 12, Пчёл-охранников: 13
Пчела становится охранником. Количество мёда: 27, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Пчела становится охранником. Количество мёда: 27, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Мёд собран. Количество мёда: 28, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 28, Пчёл-сборщиков: 11, Пчёл-охранников: 14
Пчела становится охранником. Количество мёда: 28, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Медведя укусили пчёлы. Количество мёда: 28, Пчёл-сборщиков: 10, Пчёл-охранников: 15
Пчела становится охранником. Количество мёда: 28, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Медведя укусили пчёлы. Количество мёда: 28, Пчёл-сборщиков: 9, Пчёл-охранников: 16
Мёд собран. Количество мёда: 29, Пчёл-сборщиков: 10, Пчёл-охранников: 15
^C
kallklokhet@plm2 10 %
