Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 2, Пчёл-охранников: 11, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 3, Пчёл-охранников: 10, Медведь спит: Да
Состояние системы: Количество мёда: 4, Пчёл-сборщиков: 4, Пчёл-охранников: 9, Медведь спит: Да
Состояние системы: Количество мёда: 5, Пчёл-сборщиков: 5, Пчёл-охранников: 8, Медведь спит: Да
Состояние системы: Количество мёда: 6, Пчёл-сборщиков: 6, Пчёл-охранников: 7, Медведь спит: Да
Состояние системы: Количество мёда: 6, Пчёл-сборщиков: 5, Пчёл-охранников: 8, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 6, Пчёл-охранников: 7, Медведь спит: Да
Состояние системы: Количество мёда: 8, Пчёл-сборщиков: 7, Пчёл-охранников: 6, Медведь спит: Да
Состояние системы: Количество мёда: 9, Пчёл-сборщиков: 8, Пчёл-охранников: 5, Медведь спит: Да
Состояние системы: Количество мёда: 10, Пчёл-сборщиков: 9, Пчёл-охранников: 4, Медведь спит: Да
Состояние системы: Количество мёда: 11, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 12, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 12, Пчёл-охранников: 1, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 12, Пчёл-охранников: 1, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 12, Пчёл-охранников: 1, Медведь спит: Да
