Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 19, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 20, Медведь спит: Да
