Для сравнения два монитора с разными интервалами.

Монитор 1:

Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 5, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 10, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 12, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 16, Пчёл-сборщиков: 5, Пчёл-охранников: 10, Медведь спит: Нет

Монитор2:

Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 2, Пчёл-сборщиков: 0, Пчёл-охранников: 15, Медведь спит: Да
Состояние системы: Количество мёда: 3, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 4, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 5, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 6, Пчёл-сборщиков: 4, Пчёл-охранников: 11, Медведь спит: Да
Состояние системы: Количество мёда: 6, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 4, Пчёл-охранников: 11, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 8, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 8, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 9, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 10, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 10, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 10, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 11, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 11, Пчёл-сборщиков: 1, Пчёл-охранников: 14, Медведь спит: Да
Состояние системы: Количество мёда: 12, Пчёл-сборщиков: 2, Пчёл-охранников: 13, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 14, Пчёл-сборщиков: 4, Пчёл-охранников: 11, Медведь спит: Да
Состояние системы: Количество мёда: 14, Пчёл-сборщиков: 3, Пчёл-охранников: 12, Медведь спит: Да
Состояние системы: Количество мёда: 15, Пчёл-сборщиков: 4, Пчёл-охранников: 11, Медведь спит: Да
Состояние системы: Количество мёда: 16, Пчёл-сборщиков: 5, Пчёл-охранников: 10, Медведь спит: Нет
Состояние системы: Количество мёда: 16, Пчёл-сборщиков: 4, Пчёл-охранников: 11, Медведь спит: Нет
