Ответ сервера: Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 19
Ответ сервера: Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Ответ сервера: Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Ответ сервера: Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Ответ сервера: Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Пчела становится охранником. Количество мёда: 6, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Ответ сервера: Пчела становится охранником. Количество мёда: 8, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Пчела становится охранником. Количество мёда: 8, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Ответ сервера: Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Ответ сервера: Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Ответ сервера: Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Ответ сервера: Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Ответ сервера: Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Ответ сервера: Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 2, Пчёл-охранников: 18
